album_id,track_id,artist_id,user_id
23482,155931,24682,46
23482,155932,24682,46
23483,155710,24542,46
23484,155933,24683,45
23485,155934,24683,45
23435,155880,24655,45
23487,155936,24684,42
23488,155937,24684,42
23354,155777,24605,42
23489,155939,24685,42
23490,155940,24685,42
23491,155941,24686,41
23492,155942,24686,41
23493,155943,24684,41
23494,155944,24687,40
23495,155945,24687,40
23496,155946,24688,40
23497,155947,24688,40
23464,155912,24671,40
23498,155948,24624,39
23499,155949,24624,39
23500,155950,24689,40
23500,155951,24689,40
23501,155952,24690,39
23502,155953,24690,39
23503,155954,24691,39
23504,155955,24691,39
23505,155956,24692,39
23506,155957,24692,39
23507,155958,24693,39
23508,155959,24693,39
23509,155960,24694,39
23510,155961,24694,7
23511,155962,24694,7
23512,155963,24695,7
23513,155964,24695,39
23514,155965,24695,39
23515,155966,24561,39
23516,155967,24561,39
23517,155968,24696,36
23518,155969,24696,36
23519,155970,24697,36
23519,155971,24697,36
23520,155972,24605,34
23451,155899,24666,34
23521,155973,24568,30
23522,155974,24568,30
23523,155975,24698,30
23524,155976,24698,30
23525,155977,24699,30
23526,155978,24699,30
23527,155979,24700,30
23528,155980,24700,30
23529,155981,24701,30
23530,155982,24701,30
23531,155983,24702,30
23531,155984,24702,30
23532,155985,24703,30
23533,155986,24703,30
23534,155987,24704,27
23535,155988,24704,27
23316,155989,24569,26
23316,155990,24569,26
23536,155991,24705,26
23536,155992,24705,26
23537,155993,24706,26
23538,155994,24706,26
23539,155995,24707,26
23540,155996,24707,26
23367,155997,24708,26
23541,155998,24683,26
23542,155999,24709,25
23543,156000,24709,25
23293,155716,24548,25
23545,156002,24548,25
23546,156003,24710,25
23547,156004,24710,25
23548,156005,24711,25
23548,156006,24711,25
23549,156007,24712,25
23550,156008,24712,25
23551,156009,24713,25
23552,156010,24713,25
23553,156011,24714,25
23554,156012,24714,25
23555,156013,24715,25
23556,156014,24715,25
23557,156015,24716,24
23558,156016,24716,24
23366,156017,24708,23
23316,155739,24569,23
23452,156019,24666,23
23354,155777,24605,23
23285,155708,24540,23
23397,155835,24633,23
23466,155914,24672,23
23484,155933,24683,23
23562,156022,24718,23
23563,156023,24718,23
23564,156024,24719,23
23564,156025,24719,23
23565,156026,24577,23
23566,156027,24577,23
23567,156028,24720,23
23568,156029,24720,23
23569,156030,24721,23
23569,156031,24721,23
23570,156032,24722,23
23571,156033,24722,23
23572,156034,24723,23
23573,156035,24723,23
23574,156036,24724,23
23575,156037,24724,23
23576,156038,24725,23
23577,156039,24725,23
23578,156040,24726,23
23578,156041,24726,23
23579,156042,24727,23
23580,156043,24727,23
23581,156044,24728,23
23582,156045,24728,23
23583,156046,24729,23
23584,156047,24729,23
23585,156048,24730,23
23586,156049,24730,23
23587,156050,24550,23
23588,156051,24550,23
23589,156052,24731,22
23590,156053,24731,22
23591,156054,24732,21
23592,156055,24732,21
23593,156056,24733,21
23594,156057,24733,21
23363,156058,24734,20
23363,156059,24734,20
23576,156038,24725,19
23487,156060,24684,19
23305,155728,24559,19
23305,156062,24559,19
23596,156063,24735,19
23597,156064,24735,19
23598,156065,24736,19
23599,156066,24736,19
23600,156067,24737,19
23601,156068,24737,19
23602,156069,24738,19
23603,156070,24738,19
23604,156071,24739,16
23605,156072,24739,16
23606,156073,24740,16
23607,156074,24740,16
23608,156075,24741,16
23609,156076,24741,16
23610,156077,24742,16
23611,156078,24742,16
23612,156079,24743,16
23612,156080,24743,16
23613,156081,24744,15
23614,156082,24744,15
23615,156083,24745,15
23616,156084,24745,15
23617,156085,24746,15
23618,156086,24746,15
23619,156087,24747,15
23620,156088,24747,15
23621,156089,24748,14
23622,156090,24748,14
23623,156091,24749,11
23623,156092,24749,11
23624,156093,24750,11
23624,156094,24750,11
23625,156095,24751,11
23626,156096,24751,11
